route_id,city,bus_stop,ridership,timing
201,Bengaluru,Silk Board,359,2025-09-01 07:30:00
201,Bengaluru,Silk Board,321,2025-09-01 09:00:00
201,Bengaluru,Silk Board,212,2025-09-01 12:00:00
201,Bengaluru,Silk Board,458,2025-09-01 18:00:00
201,Bengaluru,Silk Board,134,2025-09-01 21:00:00
201,Bengaluru,Marathahalli,316,2025-09-01 07:30:00
201,Bengaluru,Marathahalli,423,2025-09-01 09:00:00
201,Bengaluru,Marathahalli,216,2025-09-01 12:00:00
201,Bengaluru,Marathahalli,329,2025-09-01 18:00:00
201,Bengaluru,Marathahalli,153,2025-09-01 21:00:00
201,Bengaluru,Majestic,302,2025-09-01 07:30:00
201,Bengaluru,Majestic,302,2025-09-01 09:00:00
201,Bengaluru,Majestic,198,2025-09-01 12:00:00
201,Bengaluru,Majestic,236,2025-09-01 18:00:00
201,Bengaluru,Majestic,96,2025-09-01 21:00:00
201,Bengaluru,K R Market,296,2025-09-01 07:30:00
201,Bengaluru,K R Market,269,2025-09-01 09:00:00
201,Bengaluru,K R Market,200,2025-09-01 12:00:00
201,Bengaluru,K R Market,301,2025-09-01 18:00:00
201,Bengaluru,K R Market,104,2025-09-01 21:00:00
201,Bengaluru,Hebbal,417,2025-09-01 07:30:00
201,Bengaluru,Hebbal,316,2025-09-01 09:00:00
201,Bengaluru,Hebbal,192,2025-09-01 12:00:00
201,Bengaluru,Hebbal,267,2025-09-01 18:00:00
201,Bengaluru,Hebbal,126,2025-09-01 21:00:00
202,Mumbai,Andheri West,336,2025-09-01 07:30:00
202,Mumbai,Andheri West,261,2025-09-01 09:00:00
202,Mumbai,Andheri West,202,2025-09-01 12:00:00
202,Mumbai,Andheri West,321,2025-09-01 18:00:00
202,Mumbai,Andheri West,132,2025-09-01 21:00:00
202,Mumbai,Bandra East,294,2025-09-01 07:30:00
202,Mumbai,Bandra East,440,2025-09-01 09:00:00
202,Mumbai,Bandra East,189,2025-09-01 12:00:00
202,Mumbai,Bandra East,291,2025-09-01 18:00:00
202,Mumbai,Bandra East,160,2025-09-01 21:00:00
202,Mumbai,Kurla,257,2025-09-01 07:30:00
202,Mumbai,Kurla,342,2025-09-01 09:00:00
202,Mumbai,Kurla,122,2025-09-01 12:00:00
202,Mumbai,Kurla,273,2025-09-01 18:00:00
202,Mumbai,Kurla,144,2025-09-01 21:00:00
202,Mumbai,Powai,373,2025-09-01 07:30:00
202,Mumbai,Powai,340,2025-09-01 09:00:00
202,Mumbai,Powai,186,2025-09-01 12:00:00
202,Mumbai,Powai,340,2025-09-01 18:00:00
202,Mumbai,Powai,102,2025-09-01 21:00:00
202,Mumbai,Sion,287,2025-09-01 07:30:00
202,Mumbai,Sion,302,2025-09-01 09:00:00
202,Mumbai,Sion,226,2025-09-01 12:00:00
202,Mumbai,Sion,382,2025-09-01 18:00:00
202,Mumbai,Sion,95,2025-09-01 21:00:00
203,Delhi,Kashmiri Gate ISBT,349,2025-09-01 07:30:00
203,Delhi,Kashmiri Gate ISBT,307,2025-09-01 09:00:00
